1KAMBSPA,SPECIALITA' ALIMENTARE 100% KAMUT®/100% KAMUT® SPECIALITY,spaghetti,12,500 g,€ 2.04,4%,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
SPECIALITA' ALIMENTARI 100% DI …. BIOLOGICHE/ORGANIC WHOLEGRAIN SPECIALITY 100% OF…,,,,,,,,
,,,,,,,,
"CODICE PRODOTTO
CODE","TIPOLOGIA
TYPE","FORMATO
SHAPE","PZ PER COLLO
PC PER BOX","PESO AL PZ
WEIGHT PER PC","PREZZO AL PEZZO
PRICE PER PC",IVA,,
1RISSED,SPECIALITA' ALIMENTARE 100% INTEGRALE RISO ITALIANO/100% WHOLEGRAIN BROWN ITALIAN RICE SPECIALITY,sedani,12,500 g,€ 1.75,4%,,
1RISFUS,SPECIALITA' ALIMENTARE 100% INTEGRALE RISO ITALIANO/100% WHOLEGRAIN BROWN ITALIAN RICE SPECIALITY,fusilli,12,500 g,€ 1.75,4%,,
1RISCONC,SPECIALITA' ALIMENTARE 100% INTEGRALE RISO ITALIANO/100% WHOLEGRAIN BROWN ITALIAN RICE SPECIALITY,conchiglie,12,500 g,€ 1.75,4%,,
1RISSTE,SPECIALITA' ALIMENTARE 100% INTEGRALE RISO ITALIANO/100% WHOLEGRAIN BROWN ITALIAN RICE SPECIALITY,stelline,12,500 g,€ 1.75,4%,,
,,,,,,,,
1GRSFUS,SPECIALITA' ALIMENTARE 100% INTEGRALE GRANO SARACENO/100% WHOLEGRAIN BUCKWHEAT SPECIALITY,fusilli,12,250 g,€ 1.33,10%,,
1GRSPEN,SPECIALITA' ALIMENTARE 100% INTEGRALE GRANO SARACENO/100% WHOLEGRAIN BUCKWHEAT SPECIALITY,penne,12,250 g,€ 1.33,10%,,
1GRSSED,SPECIALITA' ALIMENTARE 100% INTEGRALE GRANO SARACENO/100% WHOLEGRAIN BUCKWHEAT SPECIALITY,sedani,12,250 g,€ 1.33,10%,,
1GRSDIT,SPECIALITA' ALIMENTARE 100% INTEGRALE GRANO SARACENO/100% WHOLEGRAIN BUCKWHEAT SPECIALITY,ditalini,12,250 g,€ 1.33,10%,,
1GRSSTE,SPECIALITA' ALIMENTARE 100% INTEGRALE GRANO SARACENO/100% WHOLEGRAIN BUCKWHEAT SPECIALITY,stelline,12,250 g,€ 1.33,10%,,
,,,,,,,,
1MAIFUS,SPECIALITA' ALIMENTARE 100% MAIS ITALIANO/100% ITALIAN CORN SPECIALITY,fusilli,12,250 g,€ 0.69,4%,,
1MAISED,SPECIALITA' ALIMENTARE 100% MAIS ITALIANO/100% ITALIAN CORN SPECIALITY,sedani,12,250 g,€ 0.69,4%,,
1MAICOR,SPECIALITA' ALIMENTARE 100% MAIS ITALIANO/100% ITALIAN CORN SPECIALITY,cornetti,12,250 g,€ 0.69,4%,,
1MAISTE,SPECIALITA' ALIMENTARE 100% MAIS ITALIANO/100% ITALIAN CORN SPECIALITY,stelline,12,250 g,€ 0.69,4%,,
,,,,,,,,
1ORZFUS,SPECIALITA' ALIMENTARE 100% INTEGRALE ORZO ITALIANO/100% WHOLEGRAIN ITALIAN BARLEY SPECIALITY,fusilli,12,500 g,€ 1.280,10%,,
,,,,,,,,
1SEGFUS,SPECIALITA' ALIMENTARE 100% INTEGRALE SEGALE ITALIANA/100% WHOLEGRAIN ITALIAN RYE SPECIALITY,fusilli,12,500 g,€ 1.32,10%,,
1SEGSED,SPECIALITA' ALIMENTARE 100% INTEGRALE SEGALE ITALIANA/100% WHOLEGRAIN ITALIAN RYE SPECIALITY,sedani,12,500 g,€ 1.32,10%,,
1SEGSPA,SPECIALITA' ALIMENTARE 100% INTEGRALE SEGALE ITALIANA/100% WHOLEGRAIN ITALIAN RYE SPECIALITY,spaghetti,12,500 g,€ 1.59,10%,,
,,,,,,,,
1AVESED,SPECIALITA' ALIMENTARE 100% INTEGRALE AVENA/100% WHOLEGRAIN OAT SPECIALITY,sedani,12,500 g,€ 1.540,10%,,
1AVECOD,SPECIALITA' ALIMENTARE 100% INTEGRALE AVENA/100% WHOLEGRAIN OAT SPECIALITY,codini,12,500 g,€ 1.540,10%,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
PASTA SPECIALE DI SEMOLA DI GRANO DURO ITALIANO CON…BIOLOGICA /ORGANIC ITALIAN SPECIAL DURUM WHEAT PASTA WITH…,,,,,,,,
,,,,,,,,
"CODICE PRODOTTO
CODE","TIPOLOGIA
TYPE","FORMATO
SHAPE","PZ PER COLLO
PC PER BOX","PESO AL PZ
WEIGHT PER PC","PREZZO AL PEZZO
PRICE PER PC",IVA,,
1ERBMAR,PASTA DI SEMOLA DI GRANO DURO CON ERBETTE/DURUM WHEAT PASTA WITH HERBS,marziani,12,500 g,€ 1.150,4%,,
1BASSPA,PASTA DI SEMOLA DI GRANO DURO CON BASILICO/DURUM WHEAT PASTA WITH BASIL,spaghetti,12,500 g,€ 1.150,4%,,
1PORCOD,PASTA DI SEMOLA DI GRANO DURO CON PORRI/DURUM WHEAT PASTA WITH LEEKS,codini,12,500 g,€ 1.150,4%,,
1PEPSPA,PASTA DI SEMOLA DI GRANO DURO CON PEPERONCINO/DURUM WHEAT PASTA WITH CHILLI,spaghetti,12,500 g,€ 1.150,4%,,
1TRISFUS,PASTA DI SEMOLA DI GRANO DURO CON BIETOLA E BASILICO/DURUM WHEAT PASTA WITH BEETROOT AND BASIL,fusilli tricolore,12,500 g,€ 1.200,4%,,
1TRISPEN,PASTA DI SEMOLA DI GRANO DURO CON BASILICO E POMODORO/DURUM WHEAT PASTA WITH BASIL AND TOMATO,penne tricolore,12,500 g,€ 1.200,4%,,
1PREZCAP,PASTA DI SEMOLA DI GRANO DURO CON PREZZEMOLO E AGLIO/DURUM WHEAT PASTA WITH PARSLEY AND GARLIC,capellini,12,500 g,€ 1.180,4%,,
1POMELCOD,PASTA DI SEMOLA DI GRANO DURO CON POMODORO E MELANZANA/DURUM WHEAT PASTA WITH TOMATO AND AUBERGINE,codini,12,500 g,€ 1.200,4%,,
1AGBASCAP,PASTA DI SEMOLA DI GRANO DURO CON BASILICO E AGLIO/DURUM WHEAT PASTA WITH BASIL AND GARLIC,capellini,12,500 g,€ 1.180,4%,,
1VERCOR,PASTA DI SEMOLA DI GRANO DURO CON VERDURE/DURUM WHEAT PASTA WITH MIX OF VEGETABLES,cornetti,12,500 g,€ 1.180,4%,,
1ORZUCON,"DURUM WHEAT PASTA WITH NETTLE
PASTA DI SEMOLA DI GRANO DURO CON NETTLE",conchiglie,12,500 g,€ 1.150,4%,,
1ALGFUS,PASTA DI SEMOLA DI GRANO DURO CON ALGHE/DURUM WHEAT PASTA WITH SEAWEEDS,fusilli,12,500 g,€ 2.070,4%,,
1CANASED,PASTA DI SEMOLA DI GRANO DURO CON CANAPA/DURUM WHEAT PASTA WITH HEMP,sedani,12,500 g,€ 1.360,4%,,
1PBSPIFUS,PASTA DI SEMOLA DI GRANO DURO CON SPIRULINA/DURUM WHEAT PASTA WITH SPIRULINA,fusilli,12,500 g,€ 1.230,4%,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
SPECIALITA' ALIMENTARE CON…BIOLOGICA/ORGANIC SPECIALITY WITH…,,,,,,,,
,,,,,,,,
"CODICE PRODOTTO
CODE","TIPOLOGIA
TYPE","FORMATO
SHAPE","PZ PER COLLO
PC PER BOX","PESO AL PZ
WEIGHT PER PC","PREZZO AL PEZZO
PRICE PER PC",IVA,,
1MARIFUS,SPECIALITA' ALIMENTARE DI MAIS E RISO ITALIANI/ITALIAN CORN AND RICE SPECIALITY,fusilli,12,250 g,€ 0.82,4%,,
1MARISED,SPECIALITA' ALIMENTARE DI MAIS E RISO ITALIANI/ITALIAN CORN AND RICE SPECIALITY,sedani,12,250 g,€ 0.82,4%,,
1FASPISPA,SPECIALITA' ALIM INT DI FARRO DICOCCUM ITALIANO CON SPIRULINA/WHOLEGRAIN ITALIAN DICOCCUM SPELT SPECIALITY WITH SPIRULINA,spaghetti,12,500 g,€ 1.86,10%,,
1KASPIPEN,SPECIALITA' ALIMENTARE INT. DI KAMUT® CON SPIRULINA/WHOLEGRAIN KAMUT® SPECIALITY WITH SPIRULINA,penne,12,500 g,€ 1.96,10%,,
,,,,,,,,
,,,,,,,,
PASTA DI SEMOLA DI GRANO DURO ITALIANO CON…BIOLOGICA/ORGANIC  ITALIAN DURUM WHEAT PASTA WITH…,,,,,,,,
,,,,,,,,
"CODICE PRODOTTO
CODE","TIPOLOGIA
TYPE","FORMATO
SHAPE","PZ PER COLLO
PC PER BOX","PESO AL PZ
WEIGHT PER PC","PREZZO AL PEZZO
PRICE PER PC",IVA,,
1AMCEMAR,PASTA DI SEMOLA DI GRANO DURO CON AMARANTO E CECI/DURUM WHEAT PASTA WITH AMARANTH AND CHICK-PEAS,marziani,12,250 g,€ 0.85,4%,,
1SOIAPEN,PASTA DI SEMOLA DI GRANO DURO CON SOIA/DURUM WHEAT PASTA WITH SOJA,penne,12,500 g,€ 1.15,4%,,
1SOIASPA,PASTA DI SEMOLA DI GRANO DURO CON SOIA/DURUM WHEAT PASTA WITH SOJA,spaghetti,12,500 g,€ 1.15,4%,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
PASTA SPECIALE CON QUINOA E … BIOLOGICA /ORGANIC ITALIAN SPECIAL PASTA WITH QUINOA AND…,,,,,,,,
,,,,,,,,
"CODICE PRODOTTO
CODE","TIPOLOGIA
TYPE","FORMATO
SHAPE","PZ PER COLLO
PC PER BOX","PESO AL PZ
WEIGHT PER PC","PREZZO AL PEZZO
PRICE PER PC",IVA,,
1QTRISFUS,"PASTA DI SEMOLA DI GRANO DURO CON 10% QUINOA, BIETOLA E BASILICO/DURUM WHEAT PASTA WITH 10% QUINOA, BEETROOT AND BASIL",fusilli tricolore    3-coloured fusilli,12,500 g,€ 1.46,4%,,
1QPREZCAP,PASTA DI SEMOLA DI GRANO DURO CON 10% QUINOA PREZZEMOLO E AGLIO/DURUM WHEAT PASTA WITH 10% QUINOA PARSLEY AND GARLIC,capellini,12,500 g,€ 1.47,4%,,
1QPOMELCOD,PASTA DI SEMOLA DI GRANO DURO CON 10% QUINOA POMODORO E MELANZANA/DURUM WHEAT PASTA WITH 10% QUINOA TOMATO AND AUBERGINE,codini,12,500 g,€ 1.39,4%,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
 PASTA DI SEMOLA DI GRANO DURO ITALIANO BIOLOGICA/ORGANIC ITALIAN DURUM WHEAT PASTA,,,,,,,,
,,,,,,,,
