3INALG",8013885100101,1207.40.90,"SESAME SEASONING WITH SEAWEES WITHOUT ADDED SALT            INSAPORITORE A BASE DI SESAMO CON ALGHE SENZA SALE AGGIUNTO",,06,150 g,€ 2.27,10%,,,,
3GROSA",8013885100118,1207.40.90,"SESAME SEASONING WITH PINK HIMALAYAN SALT INSAPORITORE A BASE DI SESAMO CONS ALE ROSA HIMALAYANO",,06,150 g,€ 1.85,10%,,,,
9FIOCAVE,8013885200016,1104.12.90,OAT FLAKES/FIOCCHI DI AVENA ,,12,500 g,€ 1.28,10%,,,,
9FIOCFAR,8013885200023,1104.19.10,DICOCCUM SPELT FLAKES/FIOCCHI DI FARRO,,12,500 g,€ 1.67,10%,,,,
9FIOCKAM,8013885200047,1104.19.99,KAMUT® khorasan wheat FLAKES/FIOCCHI DI grano khorasan KAMUT®,,12,500 g,€ 1.63,10%,,,,
9FIOCGRS,8013885200078,1104.19.99,BUCKWHEAT FLAKES/FIOCCHI DI GRANO SARACENO,,12,500 g,€ 1.69,10%,,,,
9FIOCRIS,8013885200092,1104.19.91,WHOLE RICE FLAKES/FIOCCHI DI RISO INTEGRALE,,12,500 g,€ 1.19,10%,,,,
9FIOCSEG,8013885200115,1104.19.30,"RYE FLAKES/FIOCCHI DI SEGALE minimum order: Kg. 500 / ordine minimo: Kg. 500",,12,500 g,€ 0.89,10%,,,,
9FIOCMAI,8013885200122,1104.19.50,CORN FLAKES/FIOCCHI DI MAIS,,12,500 g,€ 1.21,10%,,,,
9FIOCQUI,8013885200139,1104.19.99,QUINOA FLAKES/FIOCCHI DI QUINOA,,12,500 g,€ 4.36,10%,,,,
9FIOCAMA,8013885200139,1104.19.99,AMARANTH FLAKES/FIOCCHI DI AMARANTO,,12,500 g,€ 2.54,10%,,,,
9FIOCCAST,8013885200153,0802.40.00,CHESTNUTS FLAKES/FIOCCHI DI CASTAGNE,,12,250 g,€ 2.35,10%,,,,
4FFAR1,8013885210305,,WHOLEGRAIN SPELT FLOUR/FARINA INTEGRALE DI FARRO,,10,1 kg,€ 2.28,4%,4FFAR5,€ 2.10,4FFAR25,€ 1.90
4FBFAR1,8013885210312,,SPELT FLOUR/FARINA DI FARRO,,10,1 kg,€ 2.80,4%,4FBFAR5,€ 2.62,4FBFAR25,€ 2.42
4FKAM1,8013885210329,,WHOLEGRAIN KAMUT® FLOUR/FARINA INTEGRALE DI KAMUT®,,10,1 kg,€ 3.05,4%,4FKAM5,€ 2.87,4FKAM25,€ 2.67
4FBKAM1,8013885210336,,KAMUT® FLOUR/FARINA DI KAMUT®,,10,1 kg,€ 3.76,4%,4FBKAM5,€ 3.58,4FBKAM25,€ 3.38
4FSEG1,8013885210343,,WHOLEGRAIN RYE FLOUR/FARINA INTEGRALE DI SEGALE,,10,1 kg,€ 1.89,10%,,,,
4FORZ1,8013885210350,,WHOLEGRAIN BARLEY FLOUR/FARINA INTEGRALE DI ORZO,,10,1 kg,€ 1.93,10%,,,,
4FAVE1,8013885210367,,WHOLEGRAIN OAT FLOUR/FARINA INTEGRALE DI AVENA,,10,1 kg,€ 2.14,10%,,,,
4FQUI1,8013885210374,,WHOLEGRAIN QUINOA FLOUR/FARINA INTEGRALE DI QUINOA,,10,1 kg,€ 7.52,10%,,,,
4FSEM1,8013885210381,,DURUM WHEAT SEMOLINA/SEMOLA DI GRANO DURO,,10,1 kg,€ 1.56,4%,,,,
4FGD1,8013885210398,,WHOLEGRAIN DURUM WHEAT FLOUR/FARINA INTEGRALE DI GRANO DURO,,10,1 kg,€ 1.34,4%,,,,
4FMB1,8013885210404,,CORN FLOUR/FARINA DI MAIS,,10,1 kg,€ 1.58,4%,,,,
4FBGT1,8013885210411,,SOFT WHEAT FLOUR TYPE 0/FARINA DI GRANO TENERO TIPO 0,,10,1 kg,€ 1.56,4%,4FBGT5,€ 1.28,4FBGT25,€ 1.00
4FGT1,8013885210428,,WHOLEGRAIN SOFT WHEAT FLOUR/FARINA INTEGRALE DI GRANO TENERO,,10,1 kg,€ 1.56,4%,4FGT5,€ 1.28,4FGT25,€ 1.00
4FAMA1,8013885210435,,WHOLEGRAIN AMARANTH FLOUR/ FARINA INTEGRALE DI AMARANTO,,10,1 kg,€ 3.91,10%,,,,
4FGRS1,8013885210442,,WHOLEGRAIN BUCKWHEAT FLOUR/ FARINA INT DI GRANO SARACENO,,10,1 kg,€ 2.30,10%,,,,
4SEMR1,8013885210466,,DURUM WHEAT RE-MILLED SEMOLINA/SEMOLA DI GRANO DURO RIMACINATA,,10,1 kg,€ 1.73,4%,,,,
4FRIS1,8013885210480,,WHOLEGRAIN BROWN RICE FLOUR/ FARINA INT DI RISO INT,,10,1 kg,€ 1.73,4%,,,,
2AMA,8013885210602,,AMARANTH/AMARANTO,,12,500 g,€ 1.94,10%,,,,
2ORPER,8013885210619,,PEARLED BARLEY/ORZO PERLATO,,12,500 g,€ 1.21,10%,,,,
2FARD,8013885210718,,HULLED SPELT/FARRO DECORTICATO,,12,500 g,€ 1.42,10%,,,,
2GRS,8013885210633,,BUCKWHEAT/GRANO SARACENO,,12,500 g,€ 1.30,10%,,,,
2AVE,,,OAT/AVENA,,12,500 g,€ 1.21,10%,,,,
2SEG,,,RYE/SEGALE,,12,500 g,€ 1.00,4%,,,,
2GD,,,DURUM WHEAT/GRANO DURO,,12,500 g,€ 0.81,4%,,,,
2KAM,8013885210640,,KHORASAN GRAIN KAMUT®/GRANO KHORASAN KAMUT®,,12,500 g,€ 1.48,4%,,,,
2QUI,8013885210664,,QUINOA/QUINOA,,12,500 g,€ 3.68,10%,,,,
2RISBC1,8013885210671,,CARNAROLI WHITE RICE/RISO BIANCO CARNAROLI,,12,1 Kg ,€ 3.00,4%,,,,
2RISBB1,8013885210756,,BALDO WHITE RICE/RISO BIANCO BALDO,,12,1 Kg,€ 2.60,4%,,,,
2RISINC1 ,8013885210688,,CARNAROLI BROWN RICE/RISO INTEGRALE CARNAROLI,,12,1 Kg,€ 2.76,4%,,,,
2RISINB1,8013885210763,,BALDO BROWN RICE/RISO INTEGRALE BALDO,,12,1 Kg,€ 2.39,4%,,,,
2ORZTM,8013885210909,,TOASTED MILLED BARLEY/ORZO TOSTATO MACINATO,,12,500 g,€ 1.19,10%,,,,
2KAMTM,8013885210916,,TOASTED MILLED KAMUT®/KAMUT® TOSTATO MACINATO,,12,500 g,€ 2.98,10%,,,,
2FARTM,8013885210923,,TOASTED MILLED SPELT/FARRO TOSTATO MACINATO,,12,500 g,€ 2.68,10%,,,,
